env_id,timestamp,env_mode,env_frequency,env_source_count,env_receiver_count,env_range_count,env_max_depth,env_ssp_type,prt_mode,prt_success,prt_error_msg,prt_freq,prt_ssp_points,prt_ssp_min_speed,prt_ssp_max_speed,prt_ssp_mean_speed,prt_ssp_std_speed,prt_depth_min,prt_depth_max,prt_depth_range,prt_source_depths,prt_receiver_depths,prt_ranges,prt_beam_angles,prt_run_time,arr_arrival_count,arr_min_time,arr_max_time,arr_mean_time,arr_std_time,arr_min_amplitude,arr_max_amplitude,arr_mean_amplitude,arr_std_amplitude,arr_angle_spread,arr_phase_variance,ray_ray_count,ray_total_points,ray_max_range,ray_max_depth,ray_avg_ray_length,ray_path_complexity,ray_turning_points,ray_bounce_count,shd_grid_size,shd_range_extent,shd_depth_extent,shd_min_tl,shd_max_tl,shd_mean_tl,shd_std_tl,shd_tl_gradient,shd_energy_distribution
B006_arr,2025-08-01 17:58:46.093304,arr,,0,0,0,1574.9,A'				! Run type,arr,1,,1133.0,32,1489.35,1600.0,1501.8490625,18.720689316798513,0.0,1774.9,1774.9,[],[],[],[],,316321.0,0.138612658,208.999985,18.551802197412112,6.973135696509421,7.8336182e-10,201.0,0.0008076175089109601,0.36662007726370505,417.999969,92139.99600510964,,,,,,,,,,,,,,,,,
B006_ray,2025-08-01 17:58:46.559305,ray,,0,0,0,1574.9,A' 0.0,ray,1,,1133.0,32,1489.35,1600.0,1501.8490625,18.720689316798513,0.0,1774.9,1774.9,[],[],[],[],,,,,,,,,,,,,1.0,45075.0,50147.55293778306,1574.900368889991,6406019.09381833,497.95379028902,164.0,0.0,,,,,,,,,
B006_shd,2025-08-01 17:58:47.097327,shd,,0,0,0,1574.9,C'				! Run type,shd,1,,1133.0,32,1489.35,1600.0,1501.8490625,18.720689316798513,0.0,1774.9,1774.9,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B007_arr,2025-08-01 17:58:47.370917,arr,,0,0,0,5365.5,A'				! Run type,arr,1,,959.1,55,1480.12,1600.0,1495.7945454545454,16.266516620813647,0.0,5565.5,5565.5,[],[],[],[],,32623.0,0.189386755,284.5,22.206037144968214,8.886718417863733,1.09284048e-09,201.0,0.00747216830630095,1.1368540782802647,569.0,10455.357210324564,,,,,,,,,,,,,,,,,
B007_ray,2025-08-01 17:58:47.420918,ray,,0,0,0,5365.5,A' 0.0,ray,1,,959.1,55,1480.12,1600.0,1495.7945454545454,16.266516620813647,0.0,5565.5,5565.5,[],[],[],[],,,,,,,,,,,,,1.0,24894.0,50526.61940581925,5365.501137132398,8165635.721078208,567.5784808103082,242.0,0.0,,,,,,,,,
B007_shd,2025-08-01 17:58:47.709439,shd,,0,0,0,5365.5,C'				! Run type,shd,1,,959.1,55,1480.12,1600.0,1495.7945454545454,16.266516620813647,0.0,5565.5,5565.5,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B008_arr,2025-08-01 17:58:47.975429,arr,,0,0,0,437.3,A'				! Run type,arr,1,,1577.0,32,1492.69,1600.0,1506.7909375,17.25522246295578,0.0,637.3,637.3,[],[],[],[],,106583.0,0.15707846,237.5,17.828338100995328,8.61731785746265,6.44757403e-09,201.0,0.0022532098736094226,0.6254687540636733,475.0,857484.6370509361,,,,,,,,,,,,,,,,,
B008_ray,2025-08-01 17:58:48.117434,ray,,0,0,0,437.3,A' 0.0,ray,1,,1577.0,32,1492.69,1600.0,1506.7909375,17.25522246295578,0.0,637.3,637.3,[],[],[],[],,,,,,,,,,,,,1.0,199294.0,50041.53139324465,437.3001939941022,6058007.088633149,813.4560732522172,149.0,0.0,,,,,,,,,
B008_shd,2025-08-01 17:58:50.418480,shd,,0,0,0,437.3,C'				! Run type,shd,1,,1577.0,32,1492.69,1600.0,1506.7909375,17.25522246295578,0.0,637.3,637.3,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B009_arr,2025-08-01 17:58:50.685001,arr,,0,0,0,3105.4,A'				! Run type,arr,1,,1690.0,43,1482.91,1600.0,1499.54,17.610550880809527,0.0,3305.4,3305.4,[],[],[],[],,130411.0,0.185881272,280.0,22.427725565998006,8.30189693661041,1.25066554e-10,201.0,0.0018081777262496804,0.5636012038810049,560.0,30918.68122419098,,,,,,,,,,,,,,,,,
B009_ray,2025-08-01 17:58:50.880291,ray,,0,0,0,3105.4,A' 0.0,ray,1,,1690.0,43,1482.91,1600.0,1499.54,17.610550880809527,0.0,3305.4,3305.4,[],[],[],[],,,,,,,,,,,,,1.0,14692.0,50287.002376207194,3105.4009727094603,2499328.6309851627,187.8022394988882,74.0,0.0,,,,,,,,,
B009_shd,2025-08-01 17:58:51.074764,shd,,0,0,0,3105.4,C'				! Run type,shd,1,,1690.0,43,1482.91,1600.0,1499.54,17.610550880809527,0.0,3305.4,3305.4,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B010_arr,2025-08-01 17:58:51.449111,arr,,0,0,0,2621.6,A'				! Run type,arr,1,,988.4,39,1460.0,1600.0,1467.8348717948718,22.051456591438043,0.0,2821.6,2821.6,[],[],[],[],,134349.0,0.19216615,281.499969,22.578131617334144,8.367226444697287,4.08120704e-10,201.0,0.0018584648342831495,0.5625507637196785,562.999939,34782.497147922375,,,,,,,,,,,,,,,,,
B010_ray,2025-08-01 17:58:51.651027,ray,,0,0,0,2621.6,A' 0.0,ray,1,,988.4,39,1460.0,1600.0,1467.8348717948718,22.051456591438043,0.0,2821.6,2821.6,[],[],[],[],,,,,,,,,,,,,1.0,37200.0,50256.43077761702,2621.6008056384476,7259936.103013499,483.3946439395985,198.0,0.0,,,,,,,,,
B010_shd,2025-08-01 17:58:52.155453,shd,,0,0,0,2621.6,C'				! Run type,shd,1,,988.4,39,1460.0,1600.0,1467.8348717948718,22.051456591438043,0.0,2821.6,2821.6,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B011_arr,2025-08-01 17:58:52.531628,arr,,0,0,0,1081.7,A'				! Run type,arr,1,,1209.0,27,1480.1,1600.0,1495.1211111111113,21.704925423836894,0.0,1281.7,1281.7,[],[],[],[],,295418.0,0.144817084,216.5,19.408517189344835,7.0006654585839145,1.67238612e-10,201.0,0.0008421460454786999,0.3777952554404171,433.0,73125.28572558817,,,,,,,,,,,,,,,,,
B011_ray,2025-08-01 17:58:53.010169,ray,,0,0,0,1081.7,A' 0.0,ray,1,,1209.0,27,1480.1,1600.0,1495.1211111111113,21.704925423836894,0.0,1281.7,1281.7,[],[],[],[],,,,,,,,,,,,,1.0,26246.0,50104.05521115103,1081.7004051327815,2190248.695947409,182.72660587922437,51.0,0.0,,,,,,,,,
B011_shd,2025-08-01 17:58:53.339243,shd,,0,0,0,1081.7,C'				! Run type,shd,1,,1209.0,27,1480.1,1600.0,1495.1211111111113,21.704925423836894,0.0,1281.7,1281.7,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B012_arr,2025-08-01 17:58:53.613602,arr,,0,0,0,1539.0,A'				! Run type,arr,1,,1118.0,31,1490.21,1600.0,1505.3419354838707,18.35464895304146,0.0,1739.0,1739.0,[],[],[],[],,171803.0,0.180036187,272.5,22.360855893980997,8.058688025861588,1.17165888e-09,201.0,0.0014405974585858883,0.49590233589555577,545.0,48483.5364764415,,,,,,,,,,,,,,,,,
B012_ray,2025-08-01 17:58:53.863602,ray,,0,0,0,1539.0,A' 0.0,ray,1,,1118.0,31,1490.21,1600.0,1505.3419354838707,18.35464895304146,0.0,1739.0,1739.0,[],[],[],[],,,,,,,,,,,,,1.0,17606.0,50150.73853649703,1539.0003911100846,2175043.373889925,164.76533760433918,65.0,0.0,,,,,,,,,
B012_shd,2025-08-01 17:58:54.069602,shd,,0,0,0,1539.0,C'				! Run type,shd,1,,1118.0,31,1490.21,1600.0,1505.3419354838707,18.35464895304146,0.0,1739.0,1739.0,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B013_arr,2025-08-01 17:58:54.434080,arr,,0,0,0,4938.6,A'				! Run type,arr,1,,1147.0,51,1479.97,1600.0,1494.6576470588232,16.688715876331617,0.0,5138.6,5138.6,[],[],[],[],,167472.0,0.178049251,266.0,22.75053398236206,8.637247274982602,1.2474774e-10,201.0,0.0014829723527413968,0.5027904837600065,532.0,26522.62069056015,,,,,,,,,,,,,,,,,
B013_ray,2025-08-01 17:58:54.673480,ray,,0,0,0,4938.6,A' 0.0,ray,1,,1147.0,51,1479.97,1600.0,1494.6576470588232,16.688715876331617,0.0,5138.6,5138.6,[],[],[],[],,,,,,,,,,,,,1.0,7599.0,50465.39597585239,4938.601028758226,2380581.357598255,168.58419958995398,71.0,0.0,,,,,,,,,
B013_shd,2025-08-01 17:58:54.762677,shd,,0,0,0,4938.6,C'				! Run type,shd,1,,1147.0,51,1479.97,1600.0,1494.6576470588232,16.688715876331617,0.0,5138.6,5138.6,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B014_arr,2025-08-01 17:58:55.030268,arr,,0,0,0,529.8,A'				! Run type,arr,1,,2308.0,30,1488.19,1600.0,1500.4506666666666,18.985124340446706,0.0,729.8,729.8,[],[],[],[],,415287.0,0.145374864,218.5,16.575068713269577,7.674319354666447,1.74128134e-09,201.0,0.0006268123829417064,0.319967828303893,437.0,435654.27226817625,,,,,,,,,,,,,,,,,
B014_ray,2025-08-01 17:58:55.682021,ray,,0,0,0,529.8,A' 0.0,ray,1,,2308.0,30,1488.19,1600.0,1500.4506666666666,18.985124340446706,0.0,729.8,729.8,[],[],[],[],,,,,,,,,,,,,1.0,57650.0,50050.61986003608,529.8001386634461,2678074.7762041613,278.93734415775185,57.0,0.0,,,,,,,,,
B014_shd,2025-08-01 17:58:56.439456,shd,,0,0,0,529.8,C'				! Run type,shd,1,,2308.0,30,1488.19,1600.0,1500.4506666666666,18.985124340446706,0.0,729.8,729.8,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B015_arr,2025-08-01 17:58:56.735685,arr,,0,0,0,3078.1,A'				! Run type,arr,1,,1718.0,38,1479.89,1600.0,1499.1868421052632,18.861506484631764,0.0,3278.1,3278.1,[],[],[],[],,121510.0,0.136921734,206.5,17.781883965155163,6.989761056086087,3.00256792e-10,201.0,0.0020842809522797685,0.5935035820574661,413.0,22967.062873067916,,,,,,,,,,,,,,,,,
B015_ray,2025-08-01 17:58:56.911676,ray,,0,0,0,3078.1,A' 0.0,ray,1,,1718.0,38,1479.89,1600.0,1499.1868421052632,18.861506484631764,0.0,3278.1,3278.1,[],[],[],[],,,,,,,,,,,,,1.0,38810.0,50297.585358836084,3078.101082511402,7289363.656405937,526.8507227244206,215.0,0.0,,,,,,,,,
B015_shd,2025-08-01 17:58:57.423039,shd,,0,0,0,3078.1,C'				! Run type,shd,1,,1718.0,38,1479.89,1600.0,1499.1868421052632,18.861506484631764,0.0,3278.1,3278.1,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B016_arr,2025-08-01 17:58:57.785793,arr,,0,0,0,2393.0,A'				! Run type,arr,1,,990.2,39,1460.0,1600.0,1466.9646153846154,22.155221511794608,0.0,2593.0,2593.0,[],[],[],[],,61947.0,0.196187317,286.5,22.64631477321202,8.008498265647107,7.0310846e-10,201.0,0.00405442555202498,0.8312214198788391,573.0,25638.07600688194,,,,,,,,,,,,,,,,,
